year,winner,gender,country,time,marathon
2009,Meb Keflezighi,Male,United States,02:09:15,NYC
2009,Derartu Tulu,Female,Ethiopia,02:28:52,NYC
2009,Samuel Wanjiru,Male,Kenya,02:05:10,London
2009,Irina Mikitenko,Female,Germany,02:22:11,London
2009,Samuel Wanjiru,Male,Kenya,02:05:41,Chicago
2009,Irina Mikitenko,Female,Germany,02:26:31,Chicago
2010,Masakazu Fujiwara,Male,Japan,02:12:19,Tokyo
2010,Alevtina Biktimirova,Female,Russia,02:34:39,Tokyo
2010,Patrick Musyoki,Male,Kenya,02:05:08,Berlin
2010,Aberu Kebede,Female,Ethiopia,02:23:58,Berlin
2010,Robert Kiprono Cheruiyot,Male,Kenya,02:05:52,Boston
2010,Teyba Erkesso,Female,Ethiopia,02:26:11,Boston
2010,Gebregziabher Gebremariam,Male,Ethiopia,02:08:14,NYC
2010,Edna Kiplagat,Female,Kenya,02:28:20,NYC
2010,Tsegaye Kebede,Male,Ethiopia,02:05:19,London
2010,Aselefech Mergia,Female,Ethiopia,02:22:38,London
2010,Samuel Wanjiru,Male,Kenya,02:06:23,Chicago
2010,Atsede Baysa,Female,Ethiopia,02:23:40,Chicago
2011,Hailu Mekonnen,Male,Ethiopia,02:07:35,Tokyo
2011,Noriko Higuchi,Female,Japan,02:28:49,Tokyo
2011,Patrick Musyoki,Male,Kenya,02:03:38,Berlin
2011,Florence Kiplagat,Female,Kenya,02:19:44,Berlin
2011,Geoffrey Mutai,Male,Kenya,02:03:02,Boston
2011,Caroline Kilel,Female,Kenya,02:22:36,Boston
2011,Geoffrey Mutai,Male,Kenya,02:05:06,NYC
2011,Firehiwot Dado,Female,Ethiopia,02:23:15,NYC
2011,Emmanuel Mutai,Male,Kenya,02:04:40,London
2011,Mary Keitany,Female,Kenya,02:19:19,London
2011,Moses Mosop,Male,Kenya,02:05:37,Chicago
2011,Ejegayehu Dibaba,Female,Ethiopia,02:22:09,Chicago
2012,Michael Kipyego,Male,Kenya,02:07:37,Tokyo
