,year,winner,gender,country,time,marathon
0,1897,John J. McDermott,Male,United States,02:55:10,Boston
0,1898,Ronald J. MacDonald,Male,Canada,02:42:00,Boston
0,1899,Lawrence Brignolia,Male,United States,02:54:38,Boston
0,1900,Jack Caffery,Male,Canada,02:39:44,Boston
0,1901,Jack Caffery,Male,Canada,02:29:23,Boston
0,1902,Sammy Mellor,Male,United States,02:43:12,Boston
0,1903,John Lorden,Male,United States,02:41:29,Boston
0,1904,Michael Spring,Male,United States,02:38:04,Boston
0,1905,Frederick Lorz,Male,United States,02:38:25,Boston
0,1906,Tim Ford,Male,United States,02:45:45,Boston
0,1907,Thomas Longboat,Male,Canada,02:24:24,Boston
0,1908,Thomas Morrissey,Male,United States,02:25:43,Boston
0,1909,Henri Renaud,Male,United States,02:53:36,Boston
0,1910,Fred Cameron,Male,Canada,02:28:52,Boston
0,1911,Clarence DeMar,Male,United States,02:21:39,Boston
0,1912,Michael J. Ryan,Male,United States,02:21:18,Boston
0,1913,Fritz Carlson,Male,United States,02:25:14,Boston
0,1914,James Duffy,Male,Canada,02:25:14,Boston
0,1915,�douard Fabre,Male,Canada,02:31:41,Boston
0,1916,Arthur Roth,Male,United States,02:27:16,Boston
0,1917,Bill Kennedy,Male,United States,02:28:37,Boston
0,1919,Carl Linder,Male,United States,02:29:13,Boston
0,1920,Peter Trivoulides,Male,Greece,02:29:31,Boston
0,1921,Frank Zuna,Male,United States,02:18:57,Boston
0,1922,Clarence DeMar,Male,United States,02:18:10,Boston
0,1923,Clarence DeMar,Male,United States,02:23:47,Boston
0,1924,Clarence DeMar,Male,United States,02:29:40,Boston
0,1925,Charles Mellor,Male,United States,02:33:00,Boston
0,1926,Johnny Miles,Male,Canada,02:25:40,Boston
0,1927,Clarence DeMar,Male,United States,02:40:22,Boston
0,1928,Clarence DeMar,Male,United States,02:37:07,Boston
0,1929,Johnny Miles,Male,Canada,02:33:08,Boston
0,1930,Clarence DeMar,Male,United States,02:34:48,Boston
0,1931,James Henigan,Male,United States,02:46:45,Boston
0,1932,Paul de Bruyn,Male,Germany,02:33:36,Boston
0,1933,Leslie S. Pawson,Male,United States,02:31:01,Boston
0,1934,Dave Komonen,Male,Canada,02:32:53,Boston
0,1935,John A. Kelley,Male,United States,02:32:07,Boston
0,1936,Ellison Brown,Male,United States,02:33:40,Boston
0,1937,Walter Young,Male,Canada,02:33:20,Boston
0,1938,Leslie S. Pawson,Male,United States,02:35:34,Boston
0,1939,Ellison Brown,Male,United States,02:28:51,Boston
0,1940,G�rard C�t�,Male,Canada,02:28:28,Boston
0,1941,Leslie S. Pawson,Male,United States,02:30:38,Boston
0,1942,Joe Smith,Male,United States,02:26:51,Boston
0,1943,G�rard C�t�,Male,Canada,02:28:25,Boston
0,1944,G�rard C�t�,Male,Canada,02:31:50,Boston
0,1945,John A. Kelley,Male,United States,02:30:40,Boston
0,1946,Stylianos Kyriakides,Male,Greece,02:29:27,Boston
0,1947,Suh Yun-bok,Male,South Korea,02:25:39,Boston
0,1948,G�rard C�t�,Male,Canada,02:31:02,Boston
